BLOCK,ACTUAL_T,T_AVE,ERROR
1,0.8,0.8,0
2,0.8,0.8,0
3,0.8,0.8,0
4,0.8,0.8,0
5,0.8,0.8,0
6,0.8,0.8,0
7,0.8,0.8,5.63211e-09
8,0.8,0.8,0
9,0.8,0.8,0
10,0.8,0.8,3.332e-09
11,0.8,0.8,3.17694e-09
12,0.8,0.8,3.04169e-09
13,0.8,0.8,5.84472e-09
14,0.8,0.8,5.63211e-09
15,0.8,0.8,6.08337e-09
16,0.8,0.8,5.8902e-09
17,0.8,0.8,5.71433e-09
18,0.8,0.8,6.08337e-09
19,0.8,0.8,5.92112e-09
20,0.8,0.8,5.77119e-09
21,0.8,0.8,5.63211e-09
22,0.8,0.8,5.02318e-09
23,0.8,0.8,4.91277e-09
24,0.8,0.8,4.30159e-09
25,0.8,0.8,4.21468e-09
26,0.8,0.8,2.92236e-09
27,0.8,0.8,2.86773e-09
28,0.8,0.8,1.99125e-09
29,0.8,0.8,1.95662e-09
30,0.8,0.8,1.92373e-09
31,0.8,0.8,0
32,0.8,0.8,0
33,0.8,0.8,0
34,0.8,0.8,2.55553e-09
35,0.8,0.8,2.51876e-09
36,0.8,0.8,2.48353e-09
37,0.8,0.8,2.44974e-09
38,0.8,0.8,2.41729e-09
39,0.8,0.8,2.3861e-09
40,0.8,0.8,2.35608e-09
41,0.8,0.8,1.64556e-09
42,0.8,0.8,1.62585e-09
43,0.8,0.8,2.27241e-09
44,0.8,0.8,2.24643e-09
45,0.8,0.8,2.22133e-09
46,0.8,0.8,2.19706e-09
47,0.8,0.8,2.17356e-09
48,0.8,0.8,2.1508e-09
49,0.8,0.8,2.12874e-09
50,0.8,0.8,2.98023e-09
51,0.8,0.8,2.95087e-09
52,0.8,0.8,2.92236e-09
53,0.8,0.8,3.23633e-09
54,0.8,0.8,3.51224e-09
55,0.8,0.8,3.48016e-09
56,0.8,0.8,3.72529e-09
57,0.8,0.8,3.69247e-09
58,0.8,0.8,3.91324e-09
59,0.8,0.8,4.3379e-09
60,0.8,0.8,4.30159e-09
61,0.8,0.8,4.47442e-09
62,0.8,0.8,4.43819e-09
63,0.8,0.8,4.5986e-09
64,0.8,0.8,4.56253e-09
65,0.8,0.8,4.5273e-09
66,0.8,0.8,4.67633e-09
67,0.8,0.8,4.6413e-09
68,0.8,0.8,4.60704e-09
69,0.8,0.8,4.74618e-09
70,0.8,0.8,4.71216e-09
71,0.8,0.8,4.67886e-09
72,0.8,0.8,4.96705e-09
73,0.8,0.8,4.93292e-09
74,0.8,0.8,4.89947e-09
75,0.8,0.8,5.01648e-09
76,0.8,0.8,4.98337e-09
77,0.8,0.8,4.9509e-09
78,0.8,0.8,4.91906e-09
79,0.8,0.8,5.02953e-09
80,0.8,0.8,4.998e-09
81,0.8,0.8,4.96705e-09
82,0.8,0.8,4.79758e-09
83,0.8,0.8,4.7686e-09
84,0.8,0.8,4.5986e-09
85,0.8,0.8,4.27622e-09
86,0.8,0.8,4.25128e-09
87,0.8,0.8,4.07303e-09
88,0.8,0.8,3.89094e-09
89,0.8,0.8,3.86902e-09
90,0.8,0.8,3.68367e-09
91,0.8,0.8,3.31364e-09
92,0.8,0.8,3.29558e-09
93,0.8,0.8,2.89076e-09
94,0.8,0.8,3.07387e-09
95,0.8,0.8,2.86017e-09
96,0.8,0.8,2.84524e-09
97,0.8,0.8,2.39224e-09
98,0.8,0.8,2.38e-09
99,0.8,0.8,2.11796e-09
100,0.8,0.8,2.35608e-09
