STEP,DISTANCE,AVE_GOFR,ERROR
1,0.000000e+00,0.000000e+00,0.000000e+00
2,1.153321e-02,0.000000e+00,0.000000e+00
3,2.306643e-02,0.000000e+00,0.000000e+00
4,3.459964e-02,0.000000e+00,0.000000e+00
5,4.613286e-02,0.000000e+00,0.000000e+00
6,5.766607e-02,0.000000e+00,0.000000e+00
7,6.919929e-02,0.000000e+00,0.000000e+00
8,8.073250e-02,0.000000e+00,0.000000e+00
9,9.226572e-02,0.000000e+00,0.000000e+00
10,1.037989e-01,0.000000e+00,0.000000e+00
11,1.153321e-01,0.000000e+00,0.000000e+00
12,1.268654e-01,0.000000e+00,0.000000e+00
13,1.383986e-01,0.000000e+00,0.000000e+00
14,1.499318e-01,0.000000e+00,0.000000e+00
15,1.614650e-01,0.000000e+00,0.000000e+00
16,1.729982e-01,0.000000e+00,0.000000e+00
17,1.845314e-01,0.000000e+00,0.000000e+00
18,1.960646e-01,0.000000e+00,0.000000e+00
19,2.075979e-01,0.000000e+00,0.000000e+00
20,2.191311e-01,0.000000e+00,0.000000e+00
21,2.306643e-01,0.000000e+00,0.000000e+00
22,2.421975e-01,0.000000e+00,0.000000e+00
23,2.537307e-01,0.000000e+00,0.000000e+00
24,2.652639e-01,0.000000e+00,0.000000e+00
25,2.767971e-01,0.000000e+00,0.000000e+00
26,2.883304e-01,0.000000e+00,0.000000e+00
27,2.998636e-01,0.000000e+00,0.000000e+00
28,3.113968e-01,0.000000e+00,0.000000e+00
29,3.229300e-01,0.000000e+00,0.000000e+00
30,3.344632e-01,0.000000e+00,0.000000e+00
31,3.459964e-01,0.000000e+00,0.000000e+00
32,3.575296e-01,0.000000e+00,0.000000e+00
33,3.690629e-01,0.000000e+00,0.000000e+00
34,3.805961e-01,0.000000e+00,0.000000e+00
35,3.921293e-01,0.000000e+00,0.000000e+00
36,4.036625e-01,0.000000e+00,0.000000e+00
37,4.151957e-01,0.000000e+00,0.000000e+00
38,4.267289e-01,0.000000e+00,0.000000e+00
39,4.382621e-01,0.000000e+00,0.000000e+00
40,4.497954e-01,0.000000e+00,0.000000e+00
41,4.613286e-01,0.000000e+00,0.000000e+00
42,4.728618e-01,0.000000e+00,0.000000e+00
43,4.843950e-01,0.000000e+00,0.000000e+00
44,4.959282e-01,0.000000e+00,0.000000e+00
45,5.074614e-01,0.000000e+00,0.000000e+00
46,5.189946e-01,0.000000e+00,0.000000e+00
47,5.305279e-01,0.000000e+00,0.000000e+00
48,5.420611e-01,0.000000e+00,0.000000e+00
49,5.535943e-01,0.000000e+00,0.000000e+00
50,5.651275e-01,0.000000e+00,0.000000e+00
51,5.766607e-01,0.000000e+00,0.000000e+00
52,5.881939e-01,0.000000e+00,0.000000e+00
53,5.997271e-01,0.000000e+00,0.000000e+00
54,6.112604e-01,0.000000e+00,0.000000e+00
